H_final_mean,H_raw_mean,Neff_final_mean,Neff_raw_mean,T,Vt_full_mean,Vt_trunc_mean,pmax_raw_mean,prompt_id,sample_id,seed,support_size_mean
0.4124646185892216,0.41259703076214294,1.6921274281832956,1.6924751399505304,35,0.1724759611478181,0.17246380268738346,0.8397879464285715,p0,p0_repo_default_s101_16ef67cbcfec,101,50.31428571428572
0.3908626139747942,0.391117567268388,1.6176647742061903,1.6183947386642044,32,0.16793292820135064,0.1679111027655686,0.867645263671875,p0,p0_repo_default_s202_0292cd8ec9d9,202,50.78125
0.37413582887944336,0.37434192889949053,1.5937327700773471,1.594489523482578,30,0.1699483400889154,0.1699366523862049,0.8557779947916667,p0,p0_repo_default_s303_1f2fe94b1a6a,303,50.46666666666667
0.5092582394477351,0.5096306753040779,1.8751397130211331,1.877514187487634,35,0.17497202478985335,0.1749486316625446,0.8346749441964286,p0,p0_repo_default_s404_fc8826df4f7b,404,50.6
0.5604863673730199,0.5605737051047557,2.0103148411094653,2.0107365171253218,50,0.24642437661562216,0.24641161285619806,0.790693359375,p1,p1_repo_default_s101_fbbf3aa8c6e1,101,50.48
0.3540389272626066,0.3541422410081816,1.595094948642239,1.5954456760878821,42,0.13672537942975663,0.13673692892397185,0.8894566127232143,p1,p1_repo_default_s202_ad3d6206b189,202,50.5
0.5267759946902804,0.5272107621618193,2.016804659546954,2.0203037634210275,58,0.1953540384376774,0.1953225798442204,0.8142510775862069,p1,p1_repo_default_s303_f3e3e5960de1,303,50.41379310344828
0.4436094574378964,0.4437013035297031,1.7544460891220566,1.754903796683724,44,0.18847673622980593,0.18846319729666455,0.8292069868607954,p1,p1_repo_default_s404_ee537186a5a1,404,50.47727272727273
0.4338464589083166,0.43398336092535816,1.6664096607122836,1.6667802621559706,44,0.18206345469346996,0.1820491558387035,0.8578935102982954,p2,p2_repo_default_s101_c0b1e704741b,101,50.38636363636363
0.36838839878617036,0.3684303009293742,1.5558485468131231,1.5559654735641515,49,0.15221105459353365,0.152204486382028,0.8747110172193877,p2,p2_repo_default_s202_d6f66fba357b,202,50.46938775510204
0.5211919180567333,0.5218247804373081,2.0446076696649715,2.051020024706049,46,0.18294735827921835,0.18289589324494304,0.8077657948369565,p2,p2_repo_default_s303_207f49bac26e,303,50.45652173913044
0.38762387870070425,0.38772316108829497,1.5869255931917907,1.5871271296741616,48,0.14548227435747144,0.14548034964756726,0.8713480631510416,p2,p2_repo_default_s404_1897b9d15e39,404,50.604166666666664
0.47034470423454217,0.47040730906581407,1.7104514689706687,1.7105494449401446,42,0.19839658894603934,0.198389815311285,0.8347923642113095,p3,p3_repo_default_s101_c9d3e2125a25,101,50.45238095238095
0.4288794603872241,0.42893863553902906,1.7151709704292204,1.7152782348033748,39,0.20997153678520583,0.20997752382635512,0.8305288461538461,p3,p3_repo_default_s202_1f21ae948cd2,202,50.38461538461539
0.4386821788335482,0.43871299694985605,1.7237452510096745,1.723933109155303,41,0.16972620812446107,0.1697243828018242,0.8503596608231707,p3,p3_repo_default_s303_653aa1a906f8,303,50.4390243902439
0.35697443506060555,0.35696299540714477,1.5415126816198712,1.5415063868090613,49,0.15495144246338854,0.15495055053190604,0.8686772560586735,p3,p3_repo_default_s404_438d2fc78684,404,50.48979591836735
0.34373604461056684,0.34382335397945013,1.5378942189930367,1.538276153717701,46,0.12135736663436945,0.12135111156445176,0.8733865489130435,p4,p4_repo_default_s101_0f2ce93cd170,101,50.45652173913044
0.3509442069181594,0.3510099759080844,1.493714372588545,1.49384226194788,46,0.1420166789249708,0.1420110510190516,0.8755625849184783,p4,p4_repo_default_s202_fae2b2b8c176,202,50.28260869565217
0.4492482145352293,0.44948701945465586,1.801527324958695,1.80311811463921,46,0.1420556093615298,0.14203815734371722,0.8409476902173914,p4,p4_repo_default_s303_405eae3a1111,303,50.391304347826086
0.4469193905355651,0.4470561267130582,1.7471761566850288,1.7476254741142065,48,0.1918763404857997,0.19186295311852986,0.8315633138020834,p4,p4_repo_default_s404_6783a23a51a7,404,50.666666666666664
0.48948671188256504,0.48966719536145076,1.803458768464757,1.8039787761394543,40,0.18975342747095986,0.18973962586959786,0.818890380859375,p5,p5_repo_default_s101_2e09396abae4,101,50.625
0.5423712237268615,0.5425179442568587,1.914345117693933,1.9147735731918019,40,0.2111430475635332,0.21113613724744212,0.813055419921875,p5,p5_repo_default_s202_2ec04a0dbb60,202,50.325
0.5882051396215597,0.5887422105956148,2.1871387887851146,2.1918594089409806,46,0.19545835404277975,0.19541619985211967,0.7906494140625,p5,p5_repo_default_s303_f214912b4437,303,50.630434782608695
0.5297916319393121,0.5298209140753577,1.8791339135824574,1.8792179981803314,49,0.18532908507341891,0.185325660257607,0.8047472895408163,p5,p5_repo_default_s404_162b0dac4264,404,50.48979591836735
0.46569931344154947,0.465983566465187,1.805545414770087,1.8067592063938167,54,0.21491964657750498,0.214905661745389,0.8397397641782407,p6,p6_repo_default_s101_4b18773fd91c,101,50.351851851851855
0.4516642310970043,0.4517365650726115,1.7478665585448017,1.7481152792598684,61,0.17935702990728286,0.1793490266021396,0.8336001536885246,p6,p6_repo_default_s202_918b9a87b276,202,50.295081967213115
0.493365803983403,0.4938329623990494,1.8807568990139993,1.8832781554712679,59,0.1999907481647379,0.19993651167483778,0.816455905720339,p6,p6_repo_default_s303_419ceaee248d,303,50.30508474576271
0.4559247126925372,0.456019157011777,1.757640531237124,1.75804951769857,67,0.15842210384617195,0.15840968001027841,0.8469056086753731,p6,p6_repo_default_s404_f3aa73e9bdf4,404,50.6865671641791
0.4682451396077382,0.4684384746287975,1.8385556564823509,1.8392865969658467,50,0.17470399202816939,0.17468521945016618,0.84229736328125,p7,p7_repo_default_s101_99aa7bd58829,101,50.36
0.3590777628864465,0.3591085385146161,1.5879376140094423,1.588061456822284,62,0.09519101087000087,0.09518693377226888,0.8761183215725806,p7,p7_repo_default_s202_47a7c467c6e5,202,50.58064516129032
0.3677698016075413,0.36791614861767014,1.5732980614500491,1.5743176128743912,46,0.1716958311161434,0.17167250166045597,0.8565992272418478,p7,p7_repo_default_s303_e94502541332,303,50.52173913043478
0.42894198682757073,0.42898589027803785,1.7026316159346928,1.7027805996344003,60,0.1508815806321095,0.15087792068535538,0.84058837890625,p7,p7_repo_default_s404_3bbd5e38f6c4,404,50.43333333333333
