T1,T2,aligned_length,coordinate_agreement,coordinate_decision,cos_mean,cos_median,frame_offset,frame_offset_crosscorr_peak,l2_mean,offset_verified,prompt_id,roundtrip_token_match,sample_id,seed,whitened_cos_mean
35,35,35,1.0,PASS,0.9973011788278427,0.998395003157881,0,0,15.037964878542448,True,p0,1.0,p0_repo_default_s101_16ef67cbcfec,101,0.9960053215522202
32,32,32,1.0,PASS,0.9952471306440509,0.9982788740584316,0,0,18.995371541498617,True,p0,0.96875,p0_repo_default_s202_0292cd8ec9d9,202,0.9922452021585177
30,30,30,1.0,PASS,0.9952422832831956,0.9986194445900741,0,0,18.893372264334168,True,p0,0.9333333333333333,p0_repo_default_s303_1f2fe94b1a6a,303,0.9924670254995858
35,35,35,1.0,PASS,0.9983134795249226,0.9986291897958568,0,0,13.087062118307959,True,p0,0.9428571428571428,p0_repo_default_s404_fc8826df4f7b,404,0.9968259688994654
50,50,50,1.0,PASS,0.9982654402691712,0.9986614461160666,0,0,12.835307434048094,True,p1,0.96,p1_repo_default_s101_fbbf3aa8c6e1,101,0.9966381501624695
42,42,42,1.0,PASS,0.9970761283183522,0.9981141469934462,0,0,15.236887622637337,True,p1,0.9761904761904762,p1_repo_default_s202_ad3d6206b189,202,0.9959721197459034
58,58,58,1.0,PASS,0.9965113102695359,0.9978434891920012,0,0,18.685760430186146,True,p1,0.9655172413793104,p1_repo_default_s303_f3e3e5960de1,303,0.9933345223911481
44,44,44,1.0,PASS,0.9978010451899223,0.9985094703359683,0,0,13.79860747486553,True,p1,0.9772727272727273,p1_repo_default_s404_ee537186a5a1,404,0.9964610633148656
44,44,44,1.0,PASS,0.9947390585065023,0.9972923675108606,0,0,19.969192195783034,True,p2,0.9090909090909091,p2_repo_default_s101_c0b1e704741b,101,0.9901020026262384
49,49,49,1.0,PASS,0.9968220264964559,0.9981955490616929,0,0,15.563091371005694,True,p2,1.0,p2_repo_default_s202_d6f66fba357b,202,0.995066285331826
46,46,46,1.0,PASS,0.9971317309472715,0.9982363426271089,0,0,16.185115056936063,True,p2,0.9347826086956522,p2_repo_default_s303_207f49bac26e,303,0.9950581998870267
48,48,48,1.0,PASS,0.9952479242583651,0.9981512050359342,0,0,17.872316936263918,True,p2,0.9583333333333334,p2_repo_default_s404_1897b9d15e39,404,0.9923155787253037
42,42,42,1.0,PASS,0.997484486172062,0.9982444903282506,0,0,14.58909393506927,True,p3,0.9761904761904762,p3_repo_default_s101_c9d3e2125a25,101,0.9962536664505011
39,39,39,1.0,PASS,0.9957472690352338,0.9983605592774315,0,0,16.59700370505472,True,p3,0.9230769230769231,p3_repo_default_s202_1f21ae948cd2,202,0.9937510593591333
41,41,41,1.0,PASS,0.989168077583212,0.9977722837088675,0,0,20.7025535936951,True,p3,0.9512195121951219,p3_repo_default_s303_653aa1a906f8,303,0.9833789302030707
49,49,49,1.0,PASS,0.9945854839499052,0.998645973413872,0,0,16.564954681596582,True,p3,0.9183673469387755,p3_repo_default_s404_438d2fc78684,404,0.9931427288729875
46,46,46,1.0,PASS,0.9963970061440313,0.9985958224954085,0,0,14.448815940737301,True,p4,0.9565217391304348,p4_repo_default_s101_0f2ce93cd170,101,0.9943810478966049
46,46,46,1.0,PASS,0.9978219036008893,0.9986084130741584,0,0,13.564847561477423,True,p4,0.9782608695652174,p4_repo_default_s202_fae2b2b8c176,202,0.9960897502805593
