key_id,text_id,channel,n_frames,mean_s,var_s
0,p0,clean_reencode,132,0.3773771104174128,2.54053689761303
1,p0,clean_reencode,132,0.24070952103738202,3.4867641783027437
2,p0,clean_reencode,132,0.002636988850838743,3.0690643008810525
3,p0,clean_reencode,132,0.019186346068055027,2.0122427630057724
4,p0,clean_reencode,132,0.5078450362882642,3.7377526478194776
5,p0,clean_reencode,132,-0.19342023426657404,2.826845715190741
6,p0,clean_reencode,132,0.1656895126015871,3.1956187836193513
7,p0,clean_reencode,132,0.5760360196381632,2.6558602400530242
8,p0,clean_reencode,132,0.5440666072714087,3.745215309424489
9,p0,clean_reencode,132,-0.5126812665830761,2.9873037916508944
10,p0,clean_reencode,132,0.45799096383684135,2.8975631479149686
11,p0,clean_reencode,132,-0.3265735322573622,3.274816622861523
12,p0,clean_reencode,132,-0.22051827409436514,3.415384561046699
13,p0,clean_reencode,132,-0.8868098732309591,2.926911330550056
14,p0,clean_reencode,132,0.6598242994015995,1.7021552788284078
15,p0,clean_reencode,132,-0.12273614091963031,2.395075419802936
16,p0,clean_reencode,132,0.8650571809011,3.3345605360585933
17,p0,clean_reencode,132,-0.018084446378230045,5.0649083738312966
18,p0,clean_reencode,132,0.004790075823387499,2.5411707606563496
19,p0,clean_reencode,132,-0.3781081963198091,3.7150168164937942
20,p0,clean_reencode,132,-0.4126246404567552,2.8131185832508243
21,p0,clean_reencode,132,0.3337119623792054,4.41919886553094
22,p0,clean_reencode,132,-0.4921836445624058,3.0068910981685613
23,p0,clean_reencode,132,0.5435156670373239,4.631542257191015
24,p0,clean_reencode,132,0.32773413960212533,2.850243426670691
25,p0,clean_reencode,132,-7.147242687049185e-07,3.722942704776827
26,p0,clean_reencode,132,0.19354769322324125,5.602714774332584
27,p0,clean_reencode,132,0.8527871101488548,2.751550548724393
28,p0,clean_reencode,132,0.430079473075152,3.5733253683918615
29,p0,clean_reencode,132,-1.2114265520918197,2.231302378851602
30,p0,clean_reencode,132,0.9759157485200662,2.967801879828882
31,p0,clean_reencode,132,-0.08374116331414151,3.4660110186721895
32,p0,clean_reencode,132,0.6017008980278978,1.8904730687353344
33,p0,clean_reencode,132,-0.8251384500739183,2.6286774621295197
34,p0,clean_reencode,132,-0.7114336946840556,2.4478830317501865
35,p0,clean_reencode,132,-0.34722465331346053,2.47269888689947
36,p0,clean_reencode,132,0.3000628268325496,3.6567845249942907
37,p0,clean_reencode,132,0.1177174534339681,2.7890635587463795
38,p0,clean_reencode,132,0.3380475623359448,2.6756597241279843
39,p0,clean_reencode,132,0.015764196411369367,2.876268679126849
40,p0,clean_reencode,132,0.2526638146292011,1.7779108718224705
41,p0,clean_reencode,132,-0.21386340399870685,4.565203948704725
42,p0,clean_reencode,132,0.4040433413269682,3.226613173548757
43,p0,clean_reencode,132,-0.4982600983514761,2.1829182199303148
44,p0,clean_reencode,132,0.7043085281226658,2.484214123962743
45,p0,clean_reencode,132,-0.21610700755950932,3.8275944934610764
46,p0,clean_reencode,132,0.09088065882946693,1.915052370706949
47,p0,clean_reencode,132,-0.5766138371105319,2.9831646587733527
48,p0,clean_reencode,132,0.33960780395456974,2.0434939706042607
49,p0,clean_reencode,132,0.7391718160272925,2.8470862811282864
50,p0,clean_reencode,132,-0.7289633289518196,4.145502241197157
51,p0,clean_reencode,132,0.7870996041881743,2.2984463759172566
52,p0,clean_reencode,132,-0.23406868437629802,2.3787649641184636
53,p0,clean_reencode,132,-0.37875544181744797,2.795930344653022
54,p0,clean_reencode,132,-0.2110018217696097,3.3472240334408467
55,p0,clean_reencode,132,0.044354737245022466,3.9930603064797308
56,p0,clean_reencode,132,0.49853234577565225,3.484973780406549
57,p0,clean_reencode,132,-0.6406333817311319,1.9510513096768585
58,p0,clean_reencode,132,-0.7372250808520875,1.9681225981691661
59,p0,clean_reencode,132,0.07568177116300787,2.2382759491189317
60,p0,clean_reencode,132,-0.43189569182644666,2.431009843874701
61,p0,clean_reencode,132,0.04711033450923064,2.562273975702686
62,p0,clean_reencode,132,0.6410363166137809,2.560795914730575
63,p0,clean_reencode,132,0.09220021938579398,2.2243816741755333
0,p1,clean_reencode,194,-0.6149288078125869,2.870980847811697
1,p1,clean_reencode,194,-0.09255563119813436,3.6391113970028997
2,p1,clean_reencode,194,-0.7889251638365326,3.860526277550533
3,p1,clean_reencode,194,0.09529363579676083,2.5128515118855264
4,p1,clean_reencode,194,0.41070808242625384,2.2798668623040745
5,p1,clean_reencode,194,0.2504852599317121,4.365897833119416
6,p1,clean_reencode,194,-0.3144626101240095,3.5334058269476367
7,p1,clean_reencode,194,0.08296660819129233,3.05700416681871
8,p1,clean_reencode,194,-0.7516690045936028,3.101179108136047
9,p1,clean_reencode,194,-0.46503192381464764,3.1223209318973275
10,p1,clean_reencode,194,-0.3279040046083181,3.832121022066204
11,p1,clean_reencode,194,-0.6525371678337847,3.441966242389308
12,p1,clean_reencode,194,-0.4885343262313804,2.8624602788436033
13,p1,clean_reencode,194,-0.33192109271748627,2.015117299991043
14,p1,clean_reencode,194,-0.49322031750774764,2.9963620927567605
15,p1,clean_reencode,194,0.2520645437974002,1.717545771301896
16,p1,clean_reencode,194,0.35258233205264344,1.980452823117134
17,p1,clean_reencode,194,-0.19421693954653518,1.6976737768623582
18,p1,clean_reencode,194,0.0409939241831785,2.4423258867717617
19,p1,clean_reencode,194,0.27051384792032956,2.593016658971509
20,p1,clean_reencode,194,-0.09677326304237353,2.2513608889112433
21,p1,clean_reencode,194,-0.4505495826674446,2.2746745504833243
22,p1,clean_reencode,194,-0.4879693379067624,2.2291334739627007
23,p1,clean_reencode,194,0.2718496774433316,2.7152567567670416
24,p1,clean_reencode,194,0.39773247044370874,2.33843303004376
25,p1,clean_reencode,194,0.7938968829175619,2.2279626052990005
26,p1,clean_reencode,194,-0.35657675520208404,1.521101565744473
27,p1,clean_reencode,194,-0.08812034439013094,2.146612862598192
28,p1,clean_reencode,194,0.1599853302439051,2.6161656827052058
29,p1,clean_reencode,194,-0.5611041302749812,2.5937306009576124
30,p1,clean_reencode,194,0.7417061420274131,1.568078452377833
31,p1,clean_reencode,194,-0.19755048983061005,2.6446538799891655
32,p1,clean_reencode,194,-0.2665349102571307,3.39007413817147
33,p1,clean_reencode,194,-0.5965567615528956,2.751329701597434
34,p1,clean_reencode,194,-0.5871976197751847,2.464384982517592
35,p1,clean_reencode,194,-0.6337159695061054,3.0963300139273797
36,p1,clean_reencode,194,-0.48891108366147235,2.7898801039075445
37,p1,clean_reencode,194,0.04881227353427661,4.69126583844007
38,p1,clean_reencode,194,-0.003976957620646123,2.547170222716994
39,p1,clean_reencode,194,0.2768608479470891,3.9440780152208696
40,p1,clean_reencode,194,-0.1030567545262601,2.711807115095513
41,p1,clean_reencode,194,-0.18431003932571488,1.2619220158234292
42,p1,clean_reencode,194,-0.02342306758116459,1.601086355611993
43,p1,clean_reencode,194,-0.1668275306313979,4.390770428294052
44,p1,clean_reencode,194,-0.048080578876171745,3.0822714947324825
45,p1,clean_reencode,194,0.232567970761995,3.2425625911253553
46,p1,clean_reencode,194,-0.0034273210719340595,3.2469424168406547
47,p1,clean_reencode,194,-0.42838744786020094,3.513418073808621
48,p1,clean_reencode,194,0.14989972639905294,2.668894060982463
49,p1,clean_reencode,194,0.5580934448793528,2.5381285444267827
50,p1,clean_reencode,194,-0.25809731115328793,2.4885209303336513
51,p1,clean_reencode,194,-0.28934316298466517,2.3358673940393047
52,p1,clean_reencode,194,0.3452883413838123,2.76617429419071
53,p1,clean_reencode,194,-0.2749814300434175,1.6862967977051033
54,p1,clean_reencode,194,0.20263459146293927,2.4788760748438707
55,p1,clean_reencode,194,-0.27936747920010396,2.7289920359471767
