V_mean_over_keys,entropy,p_max,ordinary_mass,support
0.1986926657455611,1.3204650625682228,0.5090131599164622,1.0,51
0.4469451012919422,1.535930481448458,0.3074613128640754,0.9999999999999999,50
0.25974821679357707,0.33648847425530864,0.9193336087601542,1.0000000000000002,51
0.014587978990849682,0.033414561584434954,0.9954337919638144,0.9999999999999996,50
0.1265664449190753,0.25172981122162524,0.9325855516763313,1.0000000000000002,50
0.04453210241000073,0.24140155418600606,0.9484731500916286,1.0,50
0.014830049232341392,0.10560608064449815,0.9805879106113198,0.9999999999999997,50
0.0030673103429605404,0.017530553389095677,0.9977458690634164,0.9999999999999999,50
0.046311721782387405,0.07486017516703475,0.9876834087003389,1.0000000000000002,50
0.03476257206600987,0.2536644569244501,0.9324853047771446,1.0,50
0.000897069077268987,0.006907207974778632,0.9991523146549397,1.0000000000000002,50
0.8693342240654962,1.0454207451348623,0.6733284208841082,0.9999999999999999,50
0.406736804477768,0.6964984595547687,0.5343221158095486,0.9999999999999999,50
0.0005633642960459124,0.0038132613017122547,0.9995716727951753,0.9999999998959902,50
0.23082407206207556,0.8502917205448284,0.6691435596372229,0.9999999999999999,51
0.0002772331165725359,0.0039942419009823225,0.9995926758577879,1.0000000000000002,50
0.538340018129066,1.0002669215970892,0.4562089887837563,1.0,51
0.35219173869527065,0.9315737642854345,0.6542283654439164,1.0000000000000002,50
0.06884759457609287,0.1411629384566471,0.9763818485788073,1.0,50
0.5564877691131014,0.629930540807603,0.6955409677050924,0.9999999999999999,50
0.03578161914670162,0.0829789563354541,0.9858201467942118,1.0,50
0.1158494263113913,0.3391153442758736,0.9216406606587899,0.9999999999999997,50
0.02038828225708246,0.09140481422719877,0.9830827422726792,1.0,50
0.6526583788772079,0.8744372855504662,0.5087192456788613,0.9999999999999999,50
0.0013946957759228898,0.010205250347771248,0.9986905475627522,1.0000000000000002,50
0.14144855427565492,0.4714171423573653,0.8214754696292982,1.0,53
0.011389154814729291,0.0925924926747186,0.9831508107960876,0.9999999999999999,51
0.03727577475260557,0.294437052699212,0.92033241524818,0.9999999999999998,50
0.05554023281749394,0.23565195485707052,0.9401418288819312,0.9999999999999998,50
0.12135656946401098,0.15002970416250042,0.9655441608193589,0.9999999788991466,52
0.00020733671080898382,0.0005047134261067183,0.9999560098547762,0.9999999998186511,50
0.0020183449749100702,0.01574453652837877,0.9977865959853206,0.9999999989730373,50
0.3759572723799015,0.722447643761028,0.7432883418060948,0.9999488119558086,50
0.2525850760735277,1.4230247914121565,0.49130089731811677,0.8382671896991439,50
0.013061732246198955,0.15131895505961446,0.9654301073321394,0.034569892667860515,51
0.09176057306143723,0.8332675513766521,0.7100429419088881,0.9999999999999999,50
0.15475125349190672,0.998403253880062,0.7169523680664536,1.0,50
0.11415965713887903,0.73321484213227,0.8336644902399819,0.9999999999999997,51
