sample_id,trunc_frame,distance,align_lag,cosine,norm_l2
p6_repo_default_s404_f3aa73e9bdf4,4,59,0,0.9998627829297451,0.01733352641318342
p6_repo_default_s404_f3aa73e9bdf4,4,60,0,0.999837149449101,0.019059216801956876
p6_repo_default_s404_f3aa73e9bdf4,4,61,0,0.9996022416485371,0.029706852061025482
p6_repo_default_s404_f3aa73e9bdf4,4,62,0,0.9997690866134507,0.023831849404270893
p6_repo_default_s404_f3aa73e9bdf4,8,0,0,0.09363929219006525,1.2989089945581216
p6_repo_default_s404_f3aa73e9bdf4,8,1,0,0.15249645522591423,1.5763639039340007
p6_repo_default_s404_f3aa73e9bdf4,8,2,0,0.256665702164076,1.385214911995336
p6_repo_default_s404_f3aa73e9bdf4,8,3,0,0.42745290223801685,1.2274933576580858
p6_repo_default_s404_f3aa73e9bdf4,8,4,0,0.7260159597828181,0.7918855267776588
p6_repo_default_s404_f3aa73e9bdf4,8,5,0,0.9725331743438186,0.2410839139301334
p6_repo_default_s404_f3aa73e9bdf4,8,6,0,0.9919749146110248,0.13324716411493995
p6_repo_default_s404_f3aa73e9bdf4,8,7,0,0.9942850369117524,0.11680566444208099
p6_repo_default_s404_f3aa73e9bdf4,8,8,0,0.9970202623577098,0.0876049974592725
p6_repo_default_s404_f3aa73e9bdf4,8,9,0,0.9981073613758458,0.0760065434077146
p6_repo_default_s404_f3aa73e9bdf4,8,10,0,0.9986137713389955,0.06716009186652074
p6_repo_default_s404_f3aa73e9bdf4,8,11,0,0.9989082435681074,0.06722192830745319
p6_repo_default_s404_f3aa73e9bdf4,8,12,0,0.9987044047310732,0.06484974336473766
p6_repo_default_s404_f3aa73e9bdf4,8,13,0,0.9992029970044688,0.049932803187237744
p6_repo_default_s404_f3aa73e9bdf4,8,14,0,0.9990315894443969,0.06479053484839994
p6_repo_default_s404_f3aa73e9bdf4,8,15,0,0.9989158968093695,0.06956130421052469
p6_repo_default_s404_f3aa73e9bdf4,8,16,0,0.9991909624256503,0.05117419070243362
p6_repo_default_s404_f3aa73e9bdf4,8,17,0,0.9989519398711038,0.08058654542412706
p6_repo_default_s404_f3aa73e9bdf4,8,18,0,0.9989986873955246,0.06382326179099383
p6_repo_default_s404_f3aa73e9bdf4,8,19,0,0.9982193474879717,0.06882969365819461
p6_repo_default_s404_f3aa73e9bdf4,8,20,0,0.9984399077851777,0.06499562946001083
p6_repo_default_s404_f3aa73e9bdf4,8,21,0,0.99886582290861,0.057279846893291214
p6_repo_default_s404_f3aa73e9bdf4,8,22,0,0.9990055493542737,0.05185646789619174
p6_repo_default_s404_f3aa73e9bdf4,8,23,0,0.9986928372542031,0.07337775994741748
p6_repo_default_s404_f3aa73e9bdf4,8,24,0,0.9991685566897209,0.05283152111489022
p6_repo_default_s404_f3aa73e9bdf4,8,25,0,0.9994984800250793,0.03888140021070371
p6_repo_default_s404_f3aa73e9bdf4,8,26,0,0.9993006653661994,0.06660877413300928
p6_repo_default_s404_f3aa73e9bdf4,8,27,0,0.9994199773519616,0.06222427680061248
p6_repo_default_s404_f3aa73e9bdf4,8,28,0,0.9990455294009485,0.07130402535226237
p6_repo_default_s404_f3aa73e9bdf4,8,29,0,0.9987730919885303,0.060488523087806535
p6_repo_default_s404_f3aa73e9bdf4,8,30,0,0.9992729551241489,0.04798396200913528
p6_repo_default_s404_f3aa73e9bdf4,8,31,0,0.9989841312027827,0.06071864144110279
p6_repo_default_s404_f3aa73e9bdf4,8,32,0,0.999306477332105,0.056561127022297535
p6_repo_default_s404_f3aa73e9bdf4,8,33,0,0.9992247266061565,0.06118211241117522
p6_repo_default_s404_f3aa73e9bdf4,8,34,0,0.9992199494906294,0.059510004469302734
p6_repo_default_s404_f3aa73e9bdf4,8,35,0,0.9994985293015103,0.044901735973279525
p6_repo_default_s404_f3aa73e9bdf4,8,36,0,0.9995272420264667,0.052760312500019314
p6_repo_default_s404_f3aa73e9bdf4,8,37,0,0.9996034342038687,0.03893849567793309
p6_repo_default_s404_f3aa73e9bdf4,8,38,0,0.9997656643696613,0.041921285453177054
p6_repo_default_s404_f3aa73e9bdf4,8,39,0,0.9996899153367127,0.029392274275322147
p6_repo_default_s404_f3aa73e9bdf4,8,40,0,0.9994110923305795,0.05275100910872674
p6_repo_default_s404_f3aa73e9bdf4,8,41,0,0.999572496662963,0.044021923114232975
p6_repo_default_s404_f3aa73e9bdf4,8,42,0,0.9993906385004095,0.0459480707940658
p6_repo_default_s404_f3aa73e9bdf4,8,43,0,0.9994375868780491,0.049399034573037376
p6_repo_default_s404_f3aa73e9bdf4,8,44,0,0.999229726672661,0.053166926957700034
p6_repo_default_s404_f3aa73e9bdf4,8,45,0,0.9995012078474365,0.049246397351925285
p6_repo_default_s404_f3aa73e9bdf4,8,46,0,0.9992783059704303,0.054480362274721104
p6_repo_default_s404_f3aa73e9bdf4,8,47,0,0.9991257164167086,0.05200861803373377
p6_repo_default_s404_f3aa73e9bdf4,8,48,0,0.9994778673947933,0.053721965087967505
p6_repo_default_s404_f3aa73e9bdf4,8,49,0,0.9994911559609057,0.05113060080509288
p6_repo_default_s404_f3aa73e9bdf4,8,50,0,0.999187885595659,0.0579977334406157
p6_repo_default_s404_f3aa73e9bdf4,8,51,0,0.999291087019107,0.05660827191251493
p6_repo_default_s404_f3aa73e9bdf4,8,52,0,0.9993265005452682,0.04872471220249329
p6_repo_default_s404_f3aa73e9bdf4,8,53,0,0.9981015576591338,0.06549846130136287
p6_repo_default_s404_f3aa73e9bdf4,8,54,0,0.9965608953457397,0.08755666437643754
p6_repo_default_s404_f3aa73e9bdf4,8,55,0,0.997076384103626,0.08716691835839772
p6_repo_default_s404_f3aa73e9bdf4,8,56,0,0.9978991803082536,0.07419010540513227
p6_repo_default_s404_f3aa73e9bdf4,8,57,0,0.9956726102083286,0.1017604083962389
p6_repo_default_s404_f3aa73e9bdf4,8,58,0,0.9952538104801133,0.11049832519782954
p6_repo_default_s404_f3aa73e9bdf4,12,0,0,0.3868160562058939,1.0736412189230229
p6_repo_default_s404_f3aa73e9bdf4,12,1,0,0.7670207676940066,0.7538814097329702
p6_repo_default_s404_f3aa73e9bdf4,12,2,0,0.9326953805192809,0.41380106979549025
p6_repo_default_s404_f3aa73e9bdf4,12,3,0,0.9376053036509828,0.3997611092400244
p6_repo_default_s404_f3aa73e9bdf4,12,4,0,0.9706489583006274,0.27043725522091017
p6_repo_default_s404_f3aa73e9bdf4,12,5,0,0.9864740014046459,0.1898447699542372
p6_repo_default_s404_f3aa73e9bdf4,12,6,0,0.9899022639986111,0.174164462191381
p6_repo_default_s404_f3aa73e9bdf4,12,7,0,0.9941598321902511,0.16404524648755994
p6_repo_default_s404_f3aa73e9bdf4,12,8,0,0.9944381749607337,0.15246601372960392
p6_repo_default_s404_f3aa73e9bdf4,12,9,0,0.9965599726142728,0.11416333959733428
p6_repo_default_s404_f3aa73e9bdf4,12,10,0,0.9964699775837547,0.1391986352651114
p6_repo_default_s404_f3aa73e9bdf4,12,11,0,0.9943274506198883,0.14871643731723097
p6_repo_default_s404_f3aa73e9bdf4,12,12,0,0.9971151689032948,0.10769285016371202
p6_repo_default_s404_f3aa73e9bdf4,12,13,0,0.9956824678409598,0.17201204613622922
p6_repo_default_s404_f3aa73e9bdf4,12,14,0,0.9963879478179788,0.1404904234405459
p6_repo_default_s404_f3aa73e9bdf4,12,15,0,0.994852239662011,0.1353435046137129
p6_repo_default_s404_f3aa73e9bdf4,12,16,0,0.9959642311698645,0.13300587569054262
p6_repo_default_s404_f3aa73e9bdf4,12,17,0,0.9973649306161839,0.1077250675959652
p6_repo_default_s404_f3aa73e9bdf4,12,18,0,0.9972035409465269,0.105509568933284
p6_repo_default_s404_f3aa73e9bdf4,12,19,0,0.9969787699079987,0.13897551781607276
p6_repo_default_s404_f3aa73e9bdf4,12,20,0,0.9975819784982621,0.11284488976702711
p6_repo_default_s404_f3aa73e9bdf4,12,21,0,0.9985886316574771,0.08343662246696554
p6_repo_default_s404_f3aa73e9bdf4,12,22,0,0.9976815590642697,0.13525442341045701
p6_repo_default_s404_f3aa73e9bdf4,12,23,0,0.9981180779530756,0.12498846347089586
p6_repo_default_s404_f3aa73e9bdf4,12,24,0,0.997813758849179,0.1268950760478841
p6_repo_default_s404_f3aa73e9bdf4,12,25,0,0.9927619455686043,0.1489576634314302
p6_repo_default_s404_f3aa73e9bdf4,12,26,0,0.9968448917361313,0.10210353952248971
p6_repo_default_s404_f3aa73e9bdf4,12,27,0,0.9965575893271672,0.11024989553000016
p6_repo_default_s404_f3aa73e9bdf4,12,28,0,0.9980613440204885,0.10099090996733022
p6_repo_default_s404_f3aa73e9bdf4,12,29,0,0.9957683793349602,0.13519768271755012
p6_repo_default_s404_f3aa73e9bdf4,12,30,0,0.9966335780846128,0.12385424607663319
p6_repo_default_s404_f3aa73e9bdf4,12,31,0,0.9983125841649915,0.08893586688846182
p6_repo_default_s404_f3aa73e9bdf4,12,32,0,0.998114050780371,0.10717141665822452
p6_repo_default_s404_f3aa73e9bdf4,12,33,0,0.9983800245699501,0.08259078175932699
p6_repo_default_s404_f3aa73e9bdf4,12,34,0,0.9993046809166094,0.07846093775352404
p6_repo_default_s404_f3aa73e9bdf4,12,35,0,0.9988755308265022,0.05704735149287363
p6_repo_default_s404_f3aa73e9bdf4,12,36,0,0.998041556278752,0.10966055925461254
p6_repo_default_s404_f3aa73e9bdf4,12,37,0,0.9987415000452436,0.09789847021182824
p6_repo_default_s404_f3aa73e9bdf4,12,38,0,0.998098229149094,0.09701385213721654
p6_repo_default_s404_f3aa73e9bdf4,12,39,0,0.9979741220272693,0.0952837208619195
p6_repo_default_s404_f3aa73e9bdf4,12,40,0,0.998004458124504,0.10466771893381478
p6_repo_default_s404_f3aa73e9bdf4,12,41,0,0.9983762410345275,0.09614581697894152
p6_repo_default_s404_f3aa73e9bdf4,12,42,0,0.9972566600838213,0.11260457983796349
p6_repo_default_s404_f3aa73e9bdf4,12,43,0,0.9975452886420898,0.10340886321523762
p6_repo_default_s404_f3aa73e9bdf4,12,44,0,0.9982427261541524,0.10424490635085243
p6_repo_default_s404_f3aa73e9bdf4,12,45,0,0.9980413600779048,0.09648330342299982
p6_repo_default_s404_f3aa73e9bdf4,12,46,0,0.9975618529814748,0.11145066533381544
p6_repo_default_s404_f3aa73e9bdf4,12,47,0,0.9978459488628242,0.10964874515103068
p6_repo_default_s404_f3aa73e9bdf4,12,48,0,0.9981492610882408,0.09415692991957836
p6_repo_default_s404_f3aa73e9bdf4,12,49,0,0.9882459149079131,0.16338258463394764
p6_repo_default_s404_f3aa73e9bdf4,12,50,0,0.9740827032639249,0.23907676436670097
p6_repo_default_s404_f3aa73e9bdf4,12,51,0,0.9823511059348865,0.20603400169801056
p6_repo_default_s404_f3aa73e9bdf4,12,52,0,0.9848369688053451,0.18236466982097563
p6_repo_default_s404_f3aa73e9bdf4,12,53,0,0.9769745664275735,0.22805048434408398
p6_repo_default_s404_f3aa73e9bdf4,12,54,0,0.9782946035440796,0.23825962869414505
p6_repo_default_s404_f3aa73e9bdf4,16,0,0,0.4957205703308218,1.0135333848466472
p6_repo_default_s404_f3aa73e9bdf4,16,1,0,0.7762360068079588,0.7199391207108924
p6_repo_default_s404_f3aa73e9bdf4,16,2,0,0.9314021711028477,0.39956043696948373
p6_repo_default_s404_f3aa73e9bdf4,16,3,0,0.9792645734339886,0.2427427193914975
p6_repo_default_s404_f3aa73e9bdf4,16,4,0,0.9879896532241912,0.1907151946128624
p6_repo_default_s404_f3aa73e9bdf4,16,5,0,0.9932874132683844,0.13296047723361537
p6_repo_default_s404_f3aa73e9bdf4,16,6,0,0.9939250377530775,0.15076587294545174
p6_repo_default_s404_f3aa73e9bdf4,16,7,0,0.9936637728598248,0.13684585388309484
